Suburb/Town Name,Offence Count
Abbeyard,3
Abbotsford,1110
Aberfeldie,161
Aberfeldy,2
Acheron,5
Agnes,1
Aintree,11
Aireys Inlet,48
Airly,4
Airport West,991
Albanvale,384
Albert Park,504
Alberton,6
Alberton West,3
Albion,475
Alexandra,189
Alfredton,335
Allambee,1
Allambee Reserve,1
Allambee South,3
Allans Flat,2
Allansford,30
Allendale,13
Allestree,6
Alma,2
Almonds,1
Almurta,4
Alphington,259
Altona,826
Altona Meadows,972
Altona North,1272
Alvie,3
Amherst,3
Amphitheatre,37
Anakie,18
Ancona,7
Anderson,6
Anglers Rest,1
Anglesea,95
Apollo Bay,125
Appin South,2
Apsley,6
Ararat,878
Arawata,1
Arcadia,10
Arcadia South,1
Archdale Junction,1
Archies Creek,2
Ardeer,280
Ardmona,31
Armadale,541
Armstrong,17
Armstrong Creek,32
Arnold,2
Arthurs Creek,15
Arthurs Seat,38
Ascot,60
Ascot Vale,1124
Ashbourne,10
Ashburton,408
Ashwood,439
Aspendale,313
Aspendale Gardens,112
Athlone,9
Attwood,114
Avalon,61
Avenel,47
Avoca,45
Avondale Heights,422
Avonmore,3
Avonsleigh,28
Axe Creek,5
Axedale,31
Ayrford,5
Bacchus Marsh,746
Baddaginnie,36
Badger Creek,41
Bagshot North,1
Bailieston,3
Bairnsdale,1518
Bakery Hill,79
Balaclava,553
Bald Hills,5
Balintore,2
Ballan,255
Ballangeich,4
Ballarat Central,3390
Ballarat East,578
Ballarat North,152
Ballendella,2
Balliang,11
Balliang East,7
Ballyrogan,1
Balmattum,8
Balmoral,5
Balnarring,64
Balnarring Beach,5
Balwyn,420
Balwyn North,480
Bamawm,1
Bambra,3
Bamganie,3
Bandiana,7
Bangholme,52
Bannerton,3
Bannockburn,137
Banyena,1
Baranduda,32
Baringhup,9
Barjarg,12
Barkers Creek,23
Barkly,2
Barmah,26
Barnadown,1
Barnawartha,61
Barnawartha North,10
Baromi,14
Barongarook,13
Barongarook West,5
Barrabool,3
Barrys Reef,1
Barwidgee,2
Barwite,3
Barwon Downs,1
Barwon Heads,132
Bass,37
Batesford,21
Bathumi,1
Baw Baw,3
Baxter,186
Bayindeen,5
Bayles,8
Bayswater,1235
Bayswater North,712
Beaconsfield,309
Beaconsfield Upper,46
Bealiba,14
Bearii,3
Bears Lagoon,5
Beaufort,127
Beaumaris,307
Beeac,10
Beech Forest,2
Beechworth,102
Beenak,5
Belgrave,273
Belgrave Heights,44
Belgrave South,46
Bell Park,424
Bell Post Hill,219
Bellarine,37
Bellbrae,20
Bellbridge,8
Bellellen,1
Bellfield,158
Bells Beach,6
Belmont,1108
Bena,2
Benalla,1067
Benambra,7
Benayeo,1
Bend Of Islands,2
Bendigo,2764
Bendoc,1
Bengworden,6
Benjeroop,1
Benloch,5
Bentleigh,694
Bentleigh East,815
Benwerrin,1
Beremboke,10
Berringa,1
Berriwillock,5
Berrybank,2
Berrys Creek,2
Berwick,2060
Bessiebelle,6
Bet Bet,5
Bethanga,3
Betley,2
Beulah,11
Beverford,17
Beveridge,138
Big Hill,3
Big Pats Creek,3
Biggara,1
Binginwarri,5
Birchip,19
Birdwoodton,18
Birregurra,35
Bittern,121
Black Hill,138
Black Range,8
Black Rock,148
Blackburn,549
Blackburn North,149
Blackburn South,344
Blackwarry,1
Blackwood,11
Blairgowrie,136
Blakeville,1
Blampied,5
Blind Bight,29
Blowhard,3
Bo Peep,27
Bobinawarrah,4
Bochara,3
Bogong,1
Boho,2
Boinka,1
Boisdale,15
Bolinda,6
Bolwarra,12
Bolwarrah,1
Bonang,1
Bonbeach,262
Bonegilla,30
Boneo,20
Bonn,1
Bonnie Brook,101
Bonnie Doon,41
Bonshaw,2
Bookaar,9
Boolarra,30
Boolarra South,9
Boorcan,5
Boorhaman,2
Boorhaman North,4
Boorolite,4
Boort,19
Boronia,1657
Borung,6
Bostocks Creek,1
Botanic Ridge,65
Boundary Bend,9
Bowenvale,2
Boweya,3
Box Hill,1210
Box Hill North,275
Box Hill South,366
Boxwood,3
Braeside,255
Brandy Creek,1
Branxholme,12
Braybrook,1240
Breakaway Creek,5
Breakwater,156
Breamlea,6
Briagolong,49
Briar Hill,90
Bridge Creek,5
Bridgewater,4
Bridgewater On Loddon,228
Bright,113
Brighton,1244
Brighton East,640
Brim,6
Brimin,1
Brimpaen,5
Bringalbert,2
Brit Brit,4
Broadford,219
Broadmeadows,3331
Broadwater,4
Brodribb River,1
Bromley,2
Brookfield,369
Brooklyn,371
Brookville,1
Broomfield,17
Broughton,1
Brown Hill,101
Browns Plains,1
Bruarong,1
Brucknell,1
Brunswick,2829
Brunswick East,911
Brunswick West,745
Bruthen,41
Buangor,3
Buchan,10
Buchan South,1
Buckland,4
Buckley,1
Budgeree,3
Buffalo,2
Buffalo River,11
Bulla,66
Bullarook,4
Bullarto,6
Bulleen,498
Bullengarook,25
Bullumwaal,6
Buln Buln,11
Buln Buln East,1
Bumberrah,2
Bunbartha,7
Bundalaguah,3
Bundalong,22
Bunding,2
Bundoora,1888
Bungador,2
Bungalally,9
Bungaree,15
Bungil,7
Buninyong,104
Bunkers Hill,3
Bunyip,117
Bunyip North,1
Buragwonduc,1
Burnbank,1
Burnewang,5
Burnley,117
Burnside,236
Burnside Heights,298
Burramboot,1
Burramine,4
Burrumbeet,28
Burwood,900
Burwood East,444
Bushfield,5
Buxton,18
Byaduk,1
Byawatha,16
Bylands,18
Byrneside,5
Cabarita,12
Cabbage Tree Creek,7
Cairnlea,555
Calder Park,37
Caldermeade,20
California Gully,481
Calivil,6
Callawadda,2
Callignee,8
Callignee North,8
Calrossie,5
Calulu,4
Cambarville,12
Camberwell,857
Cambrian Hill,9
Campbellfield,1431
Campbells Bridge,1
Campbells Creek,53
Campbells Forest,9
Campbelltown,1
Camperdown,172
Canadian,269
Caniambo,1
Cann River,58
Cannie,1
Cannons Creek,24
Canterbury,332
Cape Bridgewater,5
Cape Clear,3
Cape Conran,5
Cape Otway,6
Cape Paterson,55
Cape Schanck,12
Cape Woolamai,71
Capel Sound,399
Carag Carag,1
Caramut,9
Carapooee West,1
Carapook,1
Cardigan,12
Cardigan Village,25
Cardinia,18
Cardross,23
Cargerie,2
Caringal,5
Carisbrook,75
Carlisle River,1
Carlsruhe,13
Carlton,1878
Carlton North,532
Carlyle,1
Carnegie,689
Carngham,7
Caroline Springs,1217
Carpendeit,2
Carrajung,14
Carrajung Lower,7
Carrajung South,5
Carranballac,3
Carron,1
Carrum,468
Carrum Downs,1540
Carwarp,12
Cashmore,17
Castella,4
Casterton,56
Castle Donnington,4
Castlemaine,493
Catani,40
Cathcart,8
Cathkin,1
Caulfield,302
Caulfield East,226
Caulfield North,516
Caulfield South,354
Cavendish,9
Ceres,7
Chadstone,599
Charlemont,15
Charleroi,3
Charlton,33
Chelsea,536
Chelsea Heights,310
Cheltenham,1664
Chepstowe,1
Cherrypool,1
Cheshunt,8
Chesney Vale,2
Chetwynd,7
Chewton,17
Childers,2
Chillingollah,1
Chiltern,67
Chiltern Valley,1
Chinangin,3
Chinkapook,1
Chintin,1
Chirnside Park,657
Chocolyn,1
Christmas Hills,13
Chum Creek,26
Churchill,673
Churchill Island,1
Clarendon,1
Claretown,2
Clarinda,265
Clarkefield,20
Clarkes Hill,3
Clayton,1217
Clayton South,724
Clear Lake,5
Clematis,5
Clifton Creek,1
Clifton Hill,700
Clifton Springs,161
Clonbinane,25
Cloverlea,2
Club Terrace,5
Clunes,57
Clyde,103
Clyde North,323
Clydebank,5
Coalville,2
Cobains,27
Cobaw,2
Cobblebank,60
Cobden,52
Cobram,435
Cobram East,12
Cobrico,1
Cobungra,2
Coburg,2314
Coburg North,879
Cochranes Creek,2
Cockatoo,222
Codrington,2
Coghills Creek,3
Cohuna,133
Coimadai,38
Colac,1105
Colac East,21
Colac West,4
Colbinabbin,12
Coldstream,69
Coleraine,68
Colignan,14
Collingwood,1903
Concongella,17
Condah,6
Congupna,14
Connewarre,18
Coojar,2
Coolaroo,496
Cooma,2
Coomboona,5
Coomoora,3
Coongulla,8
Cooriemungle,9
Cora Lynn,6
Coragulac,1
Corindhap,5
Corinella,48
Corio,2168
Cornella,7
Cornishtown,2
Coronet Bay,78
Corop,10
Cororooke,6
Corringle,2
Corryong,80
Cosgrove,1
Cosgrove South,2
Costerfield,21
Cotswold,4
Cottles Bridge,11
Cowangie,1
Cowes,488
Cowwarr,8
Craigie,2
Craigieburn,2961
Cranbourne,2409
Cranbourne East,543
Cranbourne North,1130
Cranbourne South,65
Cranbourne West,724
Cremorne,331
Cressy,3
Creswick,207
Creswick North,2
Crib Point,184
Cross Roads,1
Crossley,8
Crossover,7
Crowlands,1
Croxton East,1
Croydon,1850
Croydon Hills,130
Croydon North,186
Croydon South,191
Cudgee,3
Cudgewa,5
Culgoa,2
Culla,1
Cullulleraine,2
Curdies River,1
Curdievale,7
Curlewis,56
Dadswells Bridge,3
Daisy Hill,1
Dales Creek,3
Dallas,552
Dalmore,5
Dalyston,26
Dandenong,7039
Dandenong North,1281
Dandenong South,820
Dargo,22
Darley,276
Darlington,14
Darnum,26
Darraweit Guim,16
Dartmoor,4
Dartmouth,4
Dawson,2
Daylesford,140
Dean,6
Deans Marsh,7
Deanside,14
Dederang,9
Deep Lead,10
Deepdene,57
Deer Park,1459
Delacombe,362
Delahey,479
Delatite,1
Delburn,4
Denicull Creek,1
Denison,21
Dennington,65
Denver,3
Derby,2
Dereel,29
Derrimut,429
Derrinal,18
Derrinallum,20
Devenish,16
Devils River,1
Devon Meadows,34
Devon North,4
Dewhurst,21
Dhurringile,2
Diamond Creek,439
Digby,6
Diggers Rest,229
Dimboola,72
Dingee,21
Dingley Village,361
Dinner Plain,2
Dixons Creek,10
Dobie,7
Docker,4
Dockers Plains,1
Docklands,2050
Doctors Flat,1
Don Valley,17
Donald,74
Doncaster,1389
Doncaster East,741
Donnybrook,24
Donvale,255
Dooen,10
Dookie,35
Dookie College,2
Doreen,691
Dorodong,13
Double Bridges,2
Doveton,1162
Dreeite,1
Dreeite South,1
Driffield,2
Dromana,502
Drouin,1079
Drouin East,7
Drouin South,15
Drouin West,6
Drumanure,2
Drumborg,8
Drumcondra,73
Drummond,8
Drummond North,8
Drung,14
Drysdale,222
Dumbalk,6
Dunach,10
Dundonnell,1
