Abbotsford,1110
Aberfeldie,161
Aireys Inlet - Fairhaven,65
Airport West,991
Albanvale,384
Albert Park,504
Albion,475
Alexandra,189
Alfredton,335
Allansford,30
Alphington,259
Altona,826
Altona Meadows,972
Altona North,1272
Apollo Bay,125
Ararat,878
Ardeer,280
Armadale,541
Arthurs Seat,38
Ascot,60
Ascot Vale,1124
Ashburton,408
Ashwood,439
Aspendale,313
Aspendale Gardens,112
Attwood,114
Avenel,47
Avoca,45
Avondale Heights,422
Avonsleigh,28
Axedale,31
Bacchus Marsh,746
Bairnsdale,1518
Bakery Hill,79
Balaclava,553
Ballan,255
Ballarat Central,3390
Ballarat East,578
Ballarat North,152
Balmoral,5
Balnarring - Balnarring Beach,69
Balwyn,420
Balwyn North,480
Bangholme,52
Bannockburn,137
Baranduda,32
Barnawartha,61
Batesford,21
Baxter,186
Bayswater,1235
Bayswater North,712
Beaconsfield,309
Beaconsfield Upper,46
Beaufort,127
Beaumaris,307
Beeac,10
Beechworth,102
Belgrave,273
Belgrave Heights,44
Belgrave South,46
Bell Park,424
Bell Post Hill,219
Bellbridge,8
Bellfield,158
Belmont,1108
Benalla,1067
Bendigo,2764
Bentleigh,694
Bentleigh East,815
Berwick,2060
Bethanga,3
Beulah,11
Birchip,19
Birregurra,35
Bittern,121
Black Hill,138
Black Rock,148
Blackburn,549
Blackburn North,149
Blackburn South,344
Blackwood,11
Blairgowrie,136
Blind Bight,29
Bonbeach,262
Boolarra,30
Boort,19
Boronia,1657
Botanic Ridge,65
Box Hill,1210
Box Hill North,275
Box Hill South,366
Braybrook,1240
Breakwater,156
Briagolong,49
Briar Hill,90
Bridgewater,4
Bright,113
Brighton,1244
Brighton East,640
Broadford,219
Broadmeadows,3331
Brooklyn,371
Brunswick,2829
Brunswick East,911
Brunswick West,745
Bruthen,41
Bulla,66
Bulleen,498
Buln Buln,11
Bundalong,22
Bundoora,1888
Buninyong,104
Bunyip,117
Burnley,117
Burnside,236
Burnside Heights,298
Burwood,900
Burwood East,444
Bushfield - Woodford,5
Buxton,18
Cabarita,12
Cairnlea,555
California Gully,481
Camberwell,857
Campbellfield,1431
Camperdown,172
Canadian,269
Cann River,58
Cannons Creek,24
Canterbury,332
Cape Paterson,55
Cape Schanck,12
Cape Woolamai,71
Cardigan Village,25
Carisbrook,75
Carlton,1878
Carlton North,532
Carnegie,689
Caroline Springs,1217
Carrum,468
Carrum Downs,1540
Casterton,56
Castlemaine,493
Caulfield,302
Caulfield East,226
Caulfield North,516
Caulfield South,354
Chadstone,599
Charlton,33
Chelsea,536
Chelsea Heights,310
Cheltenham,1664
Chiltern,67
Chirnside Park,657
Churchill,673
Clarinda,265
Clayton,1217
Clayton South,724
Clematis,5
Clifton Hill,700
Clunes,57
Clyde,103
Cobden,52
Cobram,435
Coburg,2314
Coburg North,879
Cockatoo,222
Cohuna,133
Colac,1105
Coldstream,69
Coleraine,68
Collingwood,1903
Coolaroo,496
Corinella,48
Corio,2168
Coronet Bay,78
Corryong,80
Cowes,488
Craigieburn,2961
Cranbourne,2409
Cranbourne East,543
Cranbourne North,1130
Cranbourne South,65
Cranbourne West,724
Cremorne,331
Creswick,207
Crib Point,184
Croydon,1850
Croydon Hills,130
Croydon North,186
Croydon South,191
Dales Creek,3
Dallas,552
Dalyston,26
Dandenong,7039
Dandenong North,1281
Dandenong South,820
Darnum,26
Dartmoor,4
Daylesford - Hepburn Springs,152
Deepdene,57
Deer Park,1459
Delacombe,362
Delahey,479
Derrimut,429
Derrinallum,20
Devon Meadows,34
Diamond Creek,439
Diggers Rest,229
Dimboola,72
Dingley Village,361
Dinner Plain,2
Docklands,2050
Don Valley,17
Donald,74
Doncaster,1389
Doncaster East,741
Donvale,255
Dookie,35
Doreen,691
Doveton,1162
Dromana,502
Drouin,1079
Drumcondra,73
Drysdale - Clifton Springs,383
Dunkeld,25
Dunolly,31
Eagle Point,34
Eaglehawk,607
Eaglemont,142
East Bendigo,169
East Geelong,284
East Melbourne,825
East Warburton,12
Ebden,5
Echuca,1859
Edenhope,54
Edithvale,249
Eildon,90
Eldorado,4
Elmore,29
Elsternwick,499
Eltham,813
Eltham North,120
Elwood,1073
Emerald,384
Endeavour Hills,1108
Enfield,13
Epping,3307
Epsom,276
Essendon,1222
Essendon North,160
Essendon West,37
Eumemmerring,232
Eureka,71
